Kommune,E-Mail,Bundesland,Einwohner,,,,,,,,,,,,,,,,,
Neukamperfehn,info@hesel.de,Niedersachsen,1858,,,,,,,,,,,,,,,,,
Neulehe,samtgemeinde@doerpen.de,Niedersachsen,847,,,,,,,,,,,,,,,,,
Neuschoo,info@holtriem.de,Niedersachsen,1223,,,,,,,,,,,,,,,,,
Neustadt am Rübenberge,Stadtverwaltung@neustadt-a-rbge.de,Niedersachsen,44668,,,,,,,,,,,,,,,,,
Niederlangen,info@lathen.de,Niedersachsen,1318,,,,,,,,,,,,,,,,,
Niedernwöhren,info@sg-niedernwoehren.de,Niedersachsen,1916,,,,,,,,,,,,,,,,,
Niedernwöhren,info@sg-niedernwoehren.de,Niedersachsen,1916,,,,,,,,,,,,,,,,,
Niemetal,rathaus@dransfeld.de,Niedersachsen,1420,,,,,,,,,,,,,,,,,
Nienburg  ,info@kreis-ni.de,Niedersachsen,598,,,,,,,,,,,,,,,,,
Nienburg  ,stadtverwaltung@nienburg.de,Niedersachsen,598,,,,,,,,,,,,,,,,,
Nienhagen,info@wathlingen.de,Niedersachsen,6420,,,,,,,,,,,,,,,,,
Nienstädt,samtgemeinde@sg-nienstaedt.de,Niedersachsen,4216,,,,,,,,,,,,,,,,,
Nienstädt,samtgemeinde@sg-nienstaedt.de,Niedersachsen,4216,,,,,,,,,,,,,,,,,
Nord-Elm,verwaltung@samtgemeinde-nord-elm.de,Niedersachsen,492,,,,,,,,,,,,,,,,,
Norden,stadt@norden.de,Niedersachsen,25178,,,,,,,,,,,,,,,,,
Nordenham,Kontaktformular,Niedersachsen,25889,,,,,,,,,,,,,,,,,
Norderney,stadt@norderney.de,Niedersachsen,5343,,,,,,,,,,,,,,,,,
Nordhorn,info@nordhorn.de,Niedersachsen,56973,,,,,,,,,,,,,,,,,
Nordhümmling,info@nordhuemmling.de,Niedersachsen,56973,,,,,,,,,,,,,,,,,
Nordkehdingen,samtgemeinde@nordkehdingen.de,Niedersachsen,56973,,,,,,,,,,,,,,,,,
Nordleda,zentrale@land.hadeln.de,Niedersachsen,950,,,,,,,,,,,,,,,,,
Nordsehl,info@sg-niedernwoehren.de,Niedersachsen,663,,,,,,,,,,,,,,,,,
Nordstemmen,gemeinde@nordstemmen.de,Niedersachsen,11876,,,,,,,,,,,,,,,,,
Nörten-Hardenberg,info@noerten-hardenberg.de,Niedersachsen,7719,,,,,,,,,,,,,,,,,
Northeim,info@landkreis-northeim.de,Niedersachsen,27326,,,,,,,,,,,,,,,,,
Northeim,info@northeim.de,Niedersachsen,27326,,,,,,,,,,,,,,,,,
Nortmoor,gemeinde@juemme.de,Niedersachsen,1805,,,,,,,,,,,,,,,,,
Nortrup,info@artland.de,Niedersachsen,2927,,,,,,,,,,,,,,,,,
Nottensdorf,info@horneburg.de,Niedersachsen,1619,,,,,,,,,,,,,,,,,
Oberlangen,info@lathen.de,Niedersachsen,993,,,,,,,,,,,,,,,,,
Oberndorf,zentrale@land.hadeln.de,Niedersachsen,1367,,,,,,,,,,,,,,,,,
Obernfeld,rathaus@sg-gieboldehausen.de,Niedersachsen,944,,,,,,,,,,,,,,,,,
Obernholz,info@sg-hankensbuettel.de,Niedersachsen,812,,,,,,,,,,,,,,,,,
Obernkirchen,info@obernkirchen.de,Niedersachsen,8912,,,,,,,,,,,,,,,,,
Ochtersum,info@holtriem.de,Niedersachsen,928,,,,,,,,,,,,,,,,,
Oderwald,posteingang@sg-oderwald.de,Niedersachsen,1747,,,,,,,,,,,,,,,,,
Odisheim,zentrale@land.hadeln.de,Niedersachsen,461,,,,,,,,,,,,,,,,,
Oederquart,samtgemeinde@nordkehdingen.de,Niedersachsen,924,,,,,,,,,,,,,,,,,
Oerel,samtgemeinde@geestequelle.de,Niedersachsen,1890,,,,,,,,,,,,,,,,,
Oetzen,info@samtgemeinde-rosche.de,Niedersachsen,1122,,,,,,,,,,,,,,,,,
Ohne,info@schuettorf.de,Niedersachsen,631,,,,,,,,,,,,,,,,,
Ohrum,posteingang@sg-oderwald.de,Niedersachsen,613,,,,,,,,,,,,,,,,,
Oldenburg,landkreis.oldenburg@oldenburg-kreis.de,Niedersachsen,109,,,,,,,,,,,,,,,,,
Oldenburg  ,servicecenter@stadt-oldenburg.de,Niedersachsen,109,,,,,,,,,,,,,,,,,
Oldendorf,info@oldendorf-himmelpforten.de,Niedersachsen,1073,,,,,,,,,,,,,,,,,
Oldendorf  ,rathaus@samtgemeinde-amelinghausen.de,Niedersachsen,1073,,,,,,,,,,,,,,,,,
Oldendorf-Himmelpforten,info@oldendorf-himmelpforten.de,Niedersachsen,930,,,,,,,,,,,,,,,,,
Osloß,post@boldecker-land.de,Niedersachsen,2206,,,,,,,,,,,,,,,,,
Osnabrück,redaktion@osnabrueck.de,Niedersachsen,166057,,,,,,,,,,,,,,,,,
Osnabrück,info@landkreis-osnabrueck.de,Niedersachsen,166057,,,,,,,,,,,,,,,,,
Osteel,rathaus@marienhafe.de,Niedersachsen,2011,,,,,,,,,,,,,,,,,
Osten,stadt@hemmoor.de,Niedersachsen,1723,,,,,,,,,,,,,,,,,
Osterbruch,zentrale@land.hadeln.de,Niedersachsen,467,,,,,,,,,,,,,,,,,
Ostercappeln,info@ostercappeln.de,Niedersachsen,9734,,,,,,,,,,,,,,,,,
Ostereistedt,samtgemeinde@selsingen.de,Niedersachsen,940,,,,,,,,,,,,,,,,,
"Osterheide, Gfr. Bezirk",Kontaktformular,Niedersachsen,209,,,,,,,,,,,,,,,,,
Osterholz,info@landkreis-osterholz.de,Niedersachsen,12280,,,,,,,,,,,,,,,,,
Osterholz-Scharmbeck,rathaus@osterholz-scharmbeck.de,Niedersachsen,29710,,,,,,,,,,,,,,,,,
Osterode am Harz,rathaus@osterode.de,Niedersachsen,21598,,,,,,,,,,,,,,,,,
Osterwald,rathaus@neuenhaus.de,Niedersachsen,1174,,,,,,,,,,,,,,,,,
Ostheide,rathaus@ostheide.de,Niedersachsen,514,,,,,,,,,,,,,,,,,
Ostrhauderfehn,gemeinde@ostrhauderfehn.de,Niedersachsen,11885,,,,,,,,,,,,,,,,,
Ottenstein,info@bodenwerder-polle.de,Niedersachsen,1170,,,,,,,,,,,,,,,,,
Otter,info@tostedt.de,Niedersachsen,1709,,,,,,,,,,,,,,,,,
Otterndorf,zentrale@land.hadeln.de,Niedersachsen,7515,,,,,,,,,,,,,,,,,
Ottersberg,info@flecken-ottersberg.de,Niedersachsen,13166,,,,,,,,,,,,,,,,,
Ovelgönne,info@ovelgoenne.de,Niedersachsen,5421,,,,,,,,,,,,,,,,,
Oyten,info@oyten.de,Niedersachsen,16380,,,,,,,,,,,,,,,,,
Papenburg,info@papenburg.de,Niedersachsen,37206,,,,,,,,,,,,,,,,,
Papenteich,info@papenteich.de,Niedersachsen,524,,,,,,,,,,,,,,,,,
Parsau,rathaus@samtgemeinde-brome.de,Niedersachsen,1955,,,,,,,,,,,,,,,,,
Pattensen,rathaus@pattensen.de,Niedersachsen,14666,,,,,,,,,,,,,,,,,
Pegestorf,info@bodenwerder-polle.de,Niedersachsen,388,,,,,,,,,,,,,,,,,
Peine,mail@landkreis-peine.de,Niedersachsen,50987,,,,,,,,,,,,,,,,,
Peine,poststelle@stadt-peine.de,Niedersachsen,50987,,,,,,,,,,,,,,,,,
Pennigsehl,info@weser-aue.de,Niedersachsen,1158,,,,,,,,,,,,,,,,,
Pohle,info@rodenberg.de,Niedersachsen,834,,,,,,,,,,,,,,,,,
Polle,info@bodenwerder-polle.de,Niedersachsen,1103,,,,,,,,,,,,,,,,,
Pollhagen,info@sg-niedernwoehren.de,Niedersachsen,1038,,,,,,,,,,,,,,,,,
Prezelle,samtgemeinde@gartow.de,Niedersachsen,416,,,,,,,,,,,,,,,,,
Prinzhöfte,Samtgemeinde@Harpstedt.de,Niedersachsen,621,,,,,,,,,,,,,,,,,
Quakenbrück,info@artland.de,Niedersachsen,14007,,,,,,,,,,,,,,,,,
Quendorf,info@schuettorf.de,Niedersachsen,650,,,,,,,,,,,,,,,,,
Querenhorst,grasleben@grasleben.de,Niedersachsen,495,,,,,,,,,,,,,,,,,
Quernheim,rathaus@lemfoerde.de,Niedersachsen,498,,,,,,,,,,,,,,,,,
Räbke,verwaltung@samtgemeinde-nord-elm.de,Niedersachsen,788,,,,,,,,,,,,,,,,,
Radbruch,info@bardowick.de,Niedersachsen,2243,,,,,,,,,,,,,,,,,
Raddestorf,rathaus@sg-uchte.de,Niedersachsen,1816,,,,,,,,,,,,,,,,,
Radolfshausen,rathaus@radolfshausen.de,Niedersachsen,3084,,,,,,,,,,,,,,,,,
Rastdorf,info@werlte.de,Niedersachsen,1085,,,,,,,,,,,,,,,,,
Rastede,gemeinde@rastede.de,Niedersachsen,22896,,,,,,,,,,,,,,,,,
Rätzlingen,info@samtgemeinde-rosche.de,Niedersachsen,465,,,,,,,,,,,,,,,,,
Rechtsupweg,rathaus@marienhafe.de,Niedersachsen,1964,,,,,,,,,,,,,,,,,
Reeßum,samtgemeinde@sottrum.de,Niedersachsen,1755,,,,,,,,,,,,,,,,,
Regesbostel,samtgemeinde@hollenstedt.de,Niedersachsen,1049,,,,,,,,,,,,,,,,,
Rehburg-Loccum,stadt@rehburg-loccum.de,Niedersachsen,9942,,,,,,,,,,,,,,,,,
Rehden,info@rehden.de,Niedersachsen,2266,,,,,,,,,,,,,,,,,
Rehden,info@rehden.de,Niedersachsen,2266,,,,,,,,,,,,,,,,,
Rehlingen,rathaus@samtgemeinde-amelinghausen.de,Niedersachsen,695,,,,,,,,,,,,,,,,,
Reinstorf,rathaus@ostheide.de,Niedersachsen,1183,,,,,,,,,,,,,,,,,
Remlingen-Semmenstedt,rathaus@elm-asse.de,Niedersachsen,2266,,,,,,,,,,,,,,,,,
Renkenberge,info@lathen.de,Niedersachsen,668,,,,,,,,,,,,,,,,,
Rennau,grasleben@grasleben.de,Niedersachsen,728,,,,,,,,,,,,,,,,,
Reppenstedt,rathaus@gellersen.de,Niedersachsen,7005,,,,,,,,,,,,,,,,,
Rethem  ,rathaus@rethem.de,Niedersachsen,2166,,,,,,,,,,,,,,,,,
Rethem  ,rathaus@rethem.de,Niedersachsen,2166,,,,,,,,,,,,,,,,,
Rhade,samtgemeinde@selsingen.de,Niedersachsen,1041,,,,,,,,,,,,,,,,,
Rhauderfehn,gemeinde@rhauderfehn.de,Niedersachsen,18310,,,,,,,,,,,,,,,,,
Rhede  ,Gemeinde@Rhede-Ems.de,Niedersachsen,19674,,,,,,,,,,,,,,,,,
Rhumspringe,rathaus@sg-gieboldehausen.de,Niedersachsen,1703,,,,,,,,,,,,,,,,,
Ribbesbüttel,info@isenbuettel.de,Niedersachsen,2110,,,,,,,,,,,,,,,,,
Riede,info@thedinghausen.de,Niedersachsen,3095,,,,,,,,,,,,,,,,,
Rieste,info@bersenbrueck.de,Niedersachsen,3599,,,,,,,,,,,,,,,,,
Ringe,info@emlichheim.de,Niedersachsen,1956,,,,,,,,,,,,,,,,,
Rinteln,stadtverwaltung@rinteln.de,Niedersachsen,25602,,,,,,,,,,,,,,,,,
Ritterhude,info@ritterhude.de,Niedersachsen,14836,,,,,,,,,,,,,,,,,
Rodenberg,info@rodenberg.de,Niedersachsen,6287,,,,,,,,,,,,,,,,,
Rodenberg,info@rodenberg.de,Niedersachsen,6287,,,,,,,,,,,,,,,,,
Rodewald,rathaus@steimbke.de,Niedersachsen,2582,,,,,,,,,,,,,,,,,
Rohrsen,info@heemsen.de,Niedersachsen,1132,,,,,,,,,,,,,,,,,
Roklum,rathaus@elm-asse.de,Niedersachsen,422,,,,,,,,,,,,,,,,,
Rollshausen,rathaus@sg-gieboldehausen.de,Niedersachsen,846,,,,,,,,,,,,,,,,,
Römstedt,info@bevensen-ebstorf.de,Niedersachsen,753,,,,,,,,,,,,,,,,,
Ronnenberg,info@ronnenberg.de,Niedersachsen,23814,,,,,,,,,,,,,,,,,
Rosche,info@samtgemeinde-rosche.de,Niedersachsen,1971,,,,,,,,,,,,,,,,,
Rosche,info@samtgemeinde-rosche.de,Niedersachsen,1971,,,,,,,,,,,,,,,,,
Rosdorf,gemeinde@rosdorf.de,Niedersachsen,335,,,,,,,,,,,,,,,,,
Rosengarten,rathaus@gemeinde-rosengarten.de,Niedersachsen,14033,,,,,,,,,,,,,,,,,
Rotenburg  ,info@lk-row.de,Niedersachsen,4500,,,,,,,,,,,,,,,,,
Rotenburg  ,stadt@rotenburg-wuemme.de,Niedersachsen,4500,,,,,,,,,,,,,,,,,
Rötgesbüttel,info@papenteich.de,Niedersachsen,2519,,,,,,,,,,,,,,,,,
Rüdershausen,rathaus@sg-gieboldehausen.de,Niedersachsen,811,,,,,,,,,,,,,,,,,
Rühen,rathaus@samtgemeinde-brome.de,Niedersachsen,5790,,,,,,,,,,,,,,,,,
Rullstorf,rathaus@scharnebeck.de,Niedersachsen,1920,,,,,,,,,,,,,,,,,
Sachsenhagen,info@sachsenhagen.de,Niedersachsen,1821,,,,,,,,,,,,,,,,,
Sachsenhagen,info@sachsenhagen.de,Niedersachsen,1821,,,,,,,,,,,,,,,,,
Salzbergen,info@salzbergen.de,Niedersachsen,7949,,,,,,,,,,,,,,,,,
Salzgitter,info@stadt.salzgitter.de,Niedersachsen,104970,,,,,,,,,,,,,,,,,
Salzhausen,info@rathaus-salzhausen.de,Niedersachsen,4887,,,,,,,,,,,,,,,,,
Salzhausen,info@rathaus-salzhausen.de,Niedersachsen,4887,,,,,,,,,,,,,,,,,
Salzhemmendorf,info@salzhemmendorf.de,Niedersachsen,9233,,,,,,,,,,,,,,,,,
Samern,info@schuettorf.de,Niedersachsen,810,,,,,,,,,,,,,,,,,
Sandbostel,samtgemeinde@selsingen.de,Niedersachsen,788,,,,,,,,,,,,,,,,,
Sande,gemeinde@sande.de,Niedersachsen,8619,,,,,,,,,,,,,,,,,
Sarstedt,rathaus@sarstedt.de,Niedersachsen,19405,,,,,,,,,,,,,,,,,
Sassenburg,gemeindeverwaltung@sassenburg.de,Niedersachsen,11913,,,,,,,,,,,,,,,,,
Saterland,rathaus@saterland.de,Niedersachsen,14378,,,,,,,,,,,,,,,,,
Sauensiek,samtgemeinde@apensen.de,Niedersachsen,2525,,,,,,,,,,,,,,,,,
Schapen,Samtgemeinde@spelle.de,Niedersachsen,2438,,,,,,,,,,,,,,,,,
Scharnebeck,rathaus@scharnebeck.de,Niedersachsen,3279,,,,,,,,,,,,,,,,,
Scharnebeck,rathaus@scharnebeck.de,Niedersachsen,3279,,,,,,,,,,,,,,,,,
Schaumburg,info@schaumburg.de,Niedersachsen,1487,,,,,,,,,,,,,,,,,
Scheden,rathaus@dransfeld.de,Niedersachsen,1783,,,,,,,,,,,,,,,,,
Scheeßel,info@scheessel.de,Niedersachsen,12690,,,,,,,,,,,,,,,,,
Schellerten,Kontaktformular,Niedersachsen,7428,,,,,,,,,,,,,,,,,
Schiffdorf,gemeinde@schiffdorf.de,Niedersachsen,14598,,,,,,,,,,,,,,,,,
Schladen-Werla,info@schladen.de,Niedersachsen,8566,,,,,,,,,,,,,,,,,
Schnackenburg,samtgemeinde@gartow.de,Niedersachsen,447,,,,,,,,,,,,,,,,,
Schnega,samtgemeinde@luechow-wendland.de,Niedersachsen,1168,,,,,,,,,,,,,,,,,
Schneverdingen,rathaus@schneverdingen.de,Niedersachsen,19016,,,,,,,,,,,,,,,,,
Scholen,info@schwafoerden.de,Niedersachsen,760,,,,,,,,,,,,,,,,,
Schönewörde,info@sg-wesendorf.de,Niedersachsen,886,,,,,,,,,,,,,,,,,
Schöningen,stadt@schoeningen.de,Niedersachsen,11078,,,,,,,,,,,,,,,,,
Schöppenstedt,rathaus@elm-asse.de,Niedersachsen,5265,,,,,,,,,,,,,,,,,
Schortens,info@schortens.de,Niedersachsen,20995,,,,,,,,,,,,,,,,,
Schüttorf,info@schuettorf.de,Niedersachsen,13562,,,,,,,,,,,,,,,,,
Schüttorf,info@schuettorf.de,Niedersachsen,13562,,,,,,,,,,,,,,,,,
Schwaförden,info@schwafoerden.de,Niedersachsen,1472,,,,,,,,,,,,,,,,,
Schwaförden,info@schwafoerden.de,Niedersachsen,1472,,,,,,,,,,,,,,,,,
Schwanewede,info@schwanewede.de,Niedersachsen,19937,,,,,,,,,,,,,,,,,
Schwarme,info@bruchhausen-vilsen.de,Niedersachsen,2643,,,,,,,,,,,,,,,,,
Schwarmstedt,rathaus@schwarmstedt.de,Niedersachsen,5759,,,,,,,,,,,,,,,,,
Schwarmstedt,rathaus@schwarmstedt.de,Niedersachsen,5759,,,,,,,,,,,,,,,,,
Schweindorf,info@holtriem.de,Niedersachsen,742,,,,,,,,,,,,,,,,,
Schweringen,rathaus@hoya-weser.de,Niedersachsen,854,,,,,,,,,,,,,,,,,
Schwerinsdorf,info@hesel.de,Niedersachsen,743,,,,,,,,,,,,,,,,,
Schwienau,info@bevensen-ebstorf.de,Niedersachsen,662,,,,,,,,,,,,,,,,,
Schwülper,info@papenteich.de,Niedersachsen,7328,,,,,,,,,,,,,,,,,
Seeburg,rathaus@radolfshausen.de,Niedersachsen,1607,,,,,,,,,,,,,,,,,
Seedorf,samtgemeinde@selsingen.de,Niedersachsen,575,,,,,,,,,,,,,,,,,
Seelze,info@stadt-seelze.de,Niedersachsen,34364,,,,,,,,,,,,,,,,,
Seesen,stadt@seesen.de,Niedersachsen,18657,,,,,,,,,,,,,,,,,
Seevetal,info@seevetal.de,Niedersachsen,44158,,,,,,,,,,,,,,,,,
Seggebruch,samtgemeinde@sg-nienstaedt.de,Niedersachsen,1665,,,,,,,,,,,,,,,,,
Sehlde,info@baddeckenstedt.de,Niedersachsen,858,,,,,,,,,,,,,,,,,
Sehnde,rathaus@sehnde.de,Niedersachsen,23431,,,,,,,,,,,,,,,,,
Selsingen,samtgemeinde@selsingen.de,Niedersachsen,3574,,,,,,,,,,,,,,,,,
Selsingen,samtgemeinde@selsingen.de,Niedersachsen,3574,,,,,,,,,,,,,,,,,
Seulingen,rathaus@radolfshausen.de,Niedersachsen,1341,,,,,,,,,,,,,,,,,
Sibbesse,Kontaktformular,Niedersachsen,5311,,,,,,,,,,,,,,,,,
Sickte,info@sickte.de,Niedersachsen,5967,,,,,,,,,,,,,,,,,
Sickte,info@sickte.de,Niedersachsen,5967,,,,,,,,,,,,,,,,,
Siedenburg,kontakt@siedenburg-online.de,Niedersachsen,1246,,,,,,,,,,,,,,,,,
Siedenburg,kontakt@siedenburg-online.de,Niedersachsen,1246,,,,,,,,,,,,,,,,,
Sittensen,info@sg.sittensen.de,Niedersachsen,6211,,,,,,,,,,,,,,,,,
Sittensen,info@sg.sittensen.de,Niedersachsen,6211,,,,,,,,,,,,,,,,,
Soderstorf,rathaus@samtgemeinde-amelinghausen.de,Niedersachsen,1448,,,,,,,,,,,,,,,,,
Sögel,samtgemeinde@soegel.de,Niedersachsen,7718,,,,,,,,,,,,,,,,,
Sögel,samtgemeinde@soegel.de,Niedersachsen,7718,,,,,,,,,,,,,,,,,
Söhlde,gemeinde@soehlde.de,Niedersachsen,7486,,,,,,,,,,,,,,,,,
Söllingen,samtgemeinde@heeseberg.de,Niedersachsen,1465,,,,,,,,,,,,,,,,,
Soltau,info@stadt-soltau.de,Niedersachsen,22511,,,,,,,,,,,,,,,,,
Soltendieck,info@sg-aue.de,Niedersachsen,1019,,,,,,,,,,,,,,,,,
Sottrum,samtgemeinde@sottrum.de,Niedersachsen,6479,,,,,,,,,,,,,,,,,
Sottrum,samtgemeinde@sottrum.de,Niedersachsen,6479,,,,,,,,,,,,,,,,,
Spahnharrenstätte,samtgemeinde@soegel.de,Niedersachsen,1528,,,,,,,,,,,,,,,,,
Spelle,Samtgemeinde@spelle.de,Niedersachsen,9856,,,,,,,,,,,,,,,,,
Spelle,Samtgemeinde@spelle.de,Niedersachsen,9856,,,,,,,,,,,,,,,,,
Spiekeroog,info@gem.spiekeroog.de,Niedersachsen,650,,,,,,,,,,,,,,,,,
Sprakensehl,info@sg-hankensbuettel.de,Niedersachsen,1163,,,,,,,,,,,,,,,,,
Springe,stadt@springe.de,Niedersachsen,28669,,,,,,,,,,,,,,,,,
Stade,info@landkreis-stade.de,Niedersachsen,48633,,,,,,,,,,,,,,,,,
Stade,info@stadt-stade.de,Niedersachsen,48633,,,,,,,,,,,,,,,,,
Stadland,info@stadland.de,Niedersachsen,7561,,,,,,,,,,,,,,,,,
Stadthagen,stadtverwaltung@stadthagen.de,Niedersachsen,22638,,,,,,,,,,,,,,,,,
Stadtoldendorf,info@eschershausen-stadtoldendorf.de,Niedersachsen,4868,,,,,,,,,,,,,,,,,
Staffhorst,kontakt@siedenburg-online.de,Niedersachsen,521,,,,,,,,,,,,,,,,,
Staufenberg,rathaus@staufenberg-nds.de,Niedersachsen,7506,,,,,,,,,,,,,,,,,
Stavern,samtgemeinde@soegel.de,Niedersachsen,1080,,,,,,,,,,,,,,,,,
Stedesdorf,rathaus@esens.de,Niedersachsen,1626,,,,,,,,,,,,,,,,,
Steimbke,rathaus@steimbke.de,Niedersachsen,2448,,,,,,,,,,,,,,,,,
Steimbke,rathaus@steimbke.de,Niedersachsen,2448,,,,,,,,,,,,,,,,,
Steinau,zentrale@land.hadeln.de,Niedersachsen,803,,,,,,,,,,,,,,,,,
Steinfeld  ,info@steinfeld.de,Niedersachsen,809,,,,,,,,,,,,,,,,,
Steinhorst,info@sg-hankensbuettel.de,Niedersachsen,580,,,,,,,,,,,,,,,,,
Steinkirchen,info@luehe-online.de,Niedersachsen,1741,,,,,,,,,,,,,,,,,
Stelle,post@gemeindestelle.de,Niedersachsen,11974,,,,,,,,,,,,,,,,,
Stemmen,kontakt@sgfintel.de,Niedersachsen,804,,,,,,,,,,,,,,,,,
Stemshorn,rathaus@lemfoerde.de,Niedersachsen,708,,,,,,,,,,,,,,,,,
Steyerberg,rathaus@steyerberg.de,Niedersachsen,5159,,,,,,,,,,,,,,,,,
Stinstedt,rathaus@boerde-lamstedt.de,Niedersachsen,519,,,,,,,,,,,,,,,,,
Stöckse,rathaus@steimbke.de,Niedersachsen,1271,,,,,,,,,,,,,,,,,
Stoetze,info@samtgemeinde-rosche.de,Niedersachsen,630,,,,,,,,,,,,,,,,,
Stolzenau,info@sg-mittelweser.de,Niedersachsen,7079,,,,,,,,,,,,,,,,,
Stuhr,Gemeinde@Stuhr.de,Niedersachsen,33913,,,,,,,,,,,,,,,,,
Südbrookmerland,info@suedbrookmerland.de,Niedersachsen,18368,,,,,,,,,,,,,,,,,
Suderburg,info@suderburg.de,Niedersachsen,4379,,,,,,,,,,,,,,,,,
Suderburg,info@suderburg.de,Niedersachsen,4379,,,,,,,,,,,,,,,,,
Südergellersen,rathaus@gellersen.de,Niedersachsen,1551,,,,,,,,,,,,,,,,,
Südheide,info@gemeinde-suedheide.de,Niedersachsen,11182,,,,,,,,,,,,,,,,,
Sudwalde,info@schwafoerden.de,Niedersachsen,1010,,,,,,,,,,,,,,,,,
Suhlendorf,info@samtgemeinde-rosche.de,Niedersachsen,2256,,,,,,,,,,,,,,,,,
Sulingen,stadt@sulingen.de,Niedersachsen,13394,,,,,,,,,,,,,,,,,
Süpplingen,verwaltung@samtgemeinde-nord-elm.de,Niedersachsen,1695,,,,,,,,,,,,,,,,,
Süpplingenburg,verwaltung@samtgemeinde-nord-elm.de,Niedersachsen,642,,,,,,,,,,,,,,,,,
Surwold,info@nordhuemmling.de,Niedersachsen,4346,,,,,,,,,,,,,,,,,
Sustrum,info@lathen.de,Niedersachsen,1388,,,,,,,,,,,,,,,,,
Suthfeld,info@‎bad-nenndorf.de,Niedersachsen,1428,,,,,,,,,,,,,,,,,
Syke,info@syke.de,Niedersachsen,25270,,,,,,,,,,,,,,,,,
Tappenbeck,post@boldecker-land.de,Niedersachsen,1602,,,,,,,,,,,,,,,,,
Tarmstedt,info@tarmstedt.de,Niedersachsen,4066,,,,,,,,,,,,,,,,,
Tarmstedt,info@tarmstedt.de,Niedersachsen,4066,,,,,,,,,,,,,,,,,
Tespe,poststelle@sg-elbmarsch.de,Niedersachsen,4840,,,,,,,,,,,,,,,,,
Thedinghausen,info@thedinghausen.de,Niedersachsen,8092,,,,,,,,,,,,,,,,,
Thedinghausen,info@thedinghausen.de,Niedersachsen,8092,,,,,,,,,,,,,,,,,
Thomasburg,rathaus@ostheide.de,Niedersachsen,1307,,,,,,,,,,,,,,,,,
Thuine,ritz@freren.de,Niedersachsen,1753,,,,,,,,,,,,,,,,,
Tiddische,rathaus@samtgemeinde-brome.de,Niedersachsen,1235,,,,,,,,,,,,,,,,,
Tiste,info@sg.sittensen.de,Niedersachsen,918,,,,,,,,,,,,,,,,,
Toppenstedt,info@rathaus-salzhausen.de,Niedersachsen,2229,,,,,,,,,,,,,,,,,
Tostedt,info@tostedt.de,Niedersachsen,14341,,,,,,,,,,,,,,,,,
Tostedt,info@tostedt.de,Niedersachsen,14341,,,,,,,,,,,,,,,,,
Tosterglope,samtgemeinde@dahlenburg.de,Niedersachsen,598,,,,,,,,,,,,,,,,,
Trebel,samtgemeinde@luechow-wendland.de,Niedersachsen,927,,,,,,,,,,,,,,,,,
Tülau,rathaus@samtgemeinde-brome.de,Niedersachsen,1497,,,,,,,,,,,,,,,,,
Twist,info@twist-emsland.de,Niedersachsen,9891,,,,,,,,,,,,,,,,,
Twistringen,rathaus@twistringen.de,Niedersachsen,13162,,,,,,,,,,,,,,,,,
Uchte,rathaus@sg-uchte.de,Niedersachsen,4745,,,,,,,,,,,,,,,,,
Uchte,rathaus@sg-uchte.de,Niedersachsen,4745,,,,,,,,,,,,,,,,,
Uehrde,rathaus@elm-asse.de,Niedersachsen,850,,,,,,,,,,,,,,,,,
Uelsen,info@uelsen.de,Niedersachsen,5909,,,,,,,,,,,,,,,,,
Uelsen,info@uelsen.de,Niedersachsen,5909,,,,,,,,,,,,,,,,,
Uelzen,info@landkreis-uelzen.de,Niedersachsen,32821,,,,,,,,,,,,,,,,,
Uelzen,info@stadt.uelzen.de,Niedersachsen,32821,,,,,,,,,,,,,,,,,
Uetze,info@uetze.de,Niedersachsen,20064,,,,,,,,,,,,,,,,,
Ummern,info@sg-wesendorf.de,Niedersachsen,1491,,,,,,,,,,,,,,,,,
Undeloh,samtgemeinde@hanstedt.de,Niedersachsen,1019,,,,,,,,,,,,,,,,,
Upgant-Schott,rathaus@marienhafe.de,Niedersachsen,3567,,,,,,,,,,,,,,,,,
Uplengen,gemeinde@uplengen.de,Niedersachsen,11930,,,,,,,,,,,,,,,,,
Uslar,stadt@uslar.de,Niedersachsen,13536,,,,,,,,,,,,,,,,,
Utarp,info@holtriem.de,Niedersachsen,652,,,,,,,,,,,,,,,,,
Vahlberg,rathaus@elm-asse.de,Niedersachsen,661,,,,,,,,,,,,,,,,,
Vahlbruch,info@bodenwerder-polle.de,Niedersachsen,362,,,,,,,,,,,,,,,,,
Vahlde,kontakt@sgfintel.de,Niedersachsen,687,,,,,,,,,,,,,,,,,
Varel,info@varel.de,Niedersachsen,24704,,,,,,,,,,,,,,,,,
Varrel,info@kirchdorf.de,Niedersachsen,1371,,,,,,,,,,,,,,,,,
Vastorf,rathaus@ostheide.de,Niedersachsen,824,,,,,,,,,,,,,,,,,
Vechelde,info@vechelde.de,Niedersachsen,18138,,,,,,,,,,,,,,,,,
Vechta,info@landkreis-vechta.de,Niedersachsen,33728,,,,,,,,,,,,,,,,,
Vechta,info@vechta.de,Niedersachsen,33728,,,,,,,,,,,,,,,,,
Velpke,samtgemeinde@velpke.de,Niedersachsen,4934,,,,,,,,,,,,,,,,,
Velpke,samtgemeinde@velpke.de,Niedersachsen,4934,,,,,,,,,,,,,,,,,
Veltheim  ,info@sickte.de,Niedersachsen,12727,,,,,,,,,,,,,,,,,
